order_date,product_id,product_category,quantity_sold
3/01/2023,2490971,Cold and Flu,25
23/01/2023,2490971,Cold and Flu,22
26/01/2023,2490971,Cold and Flu,15
29/01/2023,2490971,Cold and Flu,12
1/02/2023,2490971,Cold and Flu,12
24/02/2023,2490971,Cold and Flu,14
27/02/2023,2490971,Cold and Flu,16
2/03/2023,2490971,Cold and Flu,7
25/03/2023,2490971,Cold and Flu,12
28/03/2023,2490971,Cold and Flu,20
31/03/2023,2490971,Cold and Flu,18
3/04/2023,2490971,Cold and Flu,21
23/04/2023,2490971,Cold and Flu,23
26/04/2023,2490971,Cold and Flu,21
29/04/2023,2490971,Cold and Flu,28
2/05/2023,2490971,Cold and Flu,28
25/05/2023,2490971,Cold and Flu,47
28/05/2023,2490971,Cold and Flu,31
31/05/2023,2490971,Cold and Flu,41
3/06/2023,2490971,Cold and Flu,24
23/06/2023,2490971,Cold and Flu,26
26/06/2023,2490971,Cold and Flu,40
29/06/2023,2490971,Cold and Flu,38
2/07/2023,2490971,Cold and Flu,36
25/07/2023,2490971,Cold and Flu,22
28/07/2023,2490971,Cold and Flu,24
31/07/2023,2490971,Cold and Flu,20
23/08/2023,2490971,Cold and Flu,20
26/08/2023,2490971,Cold and Flu,17
29/08/2023,2490971,Cold and Flu,20
1/09/2023,2490971,Cold and Flu,16
21/09/2023,2490971,Cold and Flu,14
24/09/2023,2490971,Cold and Flu,16
27/09/2023,2490971,Cold and Flu,27
30/09/2023,2490971,Cold and Flu,1
23/10/2023,2490971,Cold and Flu,15
26/10/2023,2490971,Cold and Flu,24
29/10/2023,2490971,Cold and Flu,19
1/11/2023,2490971,Cold and Flu,25
21/11/2023,2490971,Cold and Flu,19
24/11/2023,2490971,Cold and Flu,36
27/11/2023,2490971,Cold and Flu,21
30/11/2023,2490971,Cold and Flu,12
23/12/2023,2490971,Cold and Flu,18
26/12/2023,2490971,Cold and Flu,20
29/12/2023,2490971,Cold and Flu,11
6/01/2023,2609910,Hayfever,72
9/01/2023,2609910,Hayfever,91
12/01/2023,2609910,Hayfever,68
15/01/2023,2609910,Hayfever,57
7/02/2023,2609910,Hayfever,59
10/02/2023,2609910,Hayfever,35
13/02/2023,2609910,Hayfever,58
8/03/2023,2609910,Hayfever,54
11/03/2023,2609910,Hayfever,45
14/03/2023,2609910,Hayfever,54
17/03/2023,2609910,Hayfever,50
6/04/2023,2609910,Hayfever,26
9/04/2023,2609910,Hayfever,23
12/04/2023,2609910,Hayfever,57
15/04/2023,2609910,Hayfever,47
8/05/2023,2609910,Hayfever,46
11/05/2023,2609910,Hayfever,48
14/05/2023,2609910,Hayfever,40
17/05/2023,2609910,Hayfever,62
6/06/2023,2609910,Hayfever,38
9/06/2023,2609910,Hayfever,44
12/06/2023,2609910,Hayfever,45
15/06/2023,2609910,Hayfever,64
8/07/2023,2609910,Hayfever,25
11/07/2023,2609910,Hayfever,31
14/07/2023,2609910,Hayfever,39
6/08/2023,2609910,Hayfever,47
9/08/2023,2609910,Hayfever,71
12/08/2023,2609910,Hayfever,49
15/08/2023,2609910,Hayfever,86
4/09/2023,2609910,Hayfever,50
7/09/2023,2609910,Hayfever,45
10/09/2023,2609910,Hayfever,49
13/09/2023,2609910,Hayfever,66
6/10/2023,2609910,Hayfever,36
9/10/2023,2609910,Hayfever,39
12/10/2023,2609910,Hayfever,53
4/11/2023,2609910,Hayfever,10
7/11/2023,2609910,Hayfever,16
