date,temperature,humidity,wind_speed,description
03/01/2023,17.89,66,6.2,overcast clouds
23/01/2023,22.6,63,2.1,few clouds
26/01/2023,19.51,70,6.2,light rain
29/01/2023,22.53,77,2.6,broken clouds
01/02/2023,20.81,57,6.2,scattered clouds
24/02/2023,27.26,42,11.32,clear sky
27/02/2023,18.53,82,4.63,broken clouds
02/03/2023,17.93,73,3.09,broken clouds
25/03/2023,17.7,65,6.69,broken clouds
28/03/2023,17.86,91,2.06,light rain
31/03/2023,17.59,71,0.89,broken clouds
03/04/2023,15.73,79,0.89,few clouds
23/04/2023,17.4,80,3.6,broken clouds
26/04/2023,19.8,67,9.26,clear sky
29/04/2023,12.24,79,4.63,few clouds
02/05/2023,16.66,71,5.66,scattered clouds
25/05/2023,13.48,59,5.81,overcast clouds
28/05/2023,11.56,92,5.14,light rain
31/05/2023,16.28,74,7.72,broken clouds
03/06/2023,11.51,94,2.57,light intensity shower rain
23/06/2023,9.49,83,8.23,light intensity drizzle
26/06/2023,12.79,75,9.77,broken clouds
29/06/2023,9.29,82,6.17,broken clouds
02/07/2023,10.66,92,4.12,light intensity drizzle
25/07/2023,11.96,87,2.06,broken clouds
28/07/2023,13.81,81,7.2,light rain
31/07/2023,13.74,68,5.14,few clouds
23/08/2023,12.68,71,5.14,few clouds
26/08/2023,12.98,68,2.57,overcast clouds
29/08/2023,17.39,68,4.02,overcast clouds
01/09/2023,12.36,84,4.63,broken clouds
21/09/2023,13.35,68,7.2,light rain
24/09/2023,18.85,59,1.34,clear sky
27/09/2023,14.52,75,3.6,broken clouds
30/09/2023,24.86,28,10.29,clear sky
23/10/2023,13.92,72,4.63,broken clouds
26/10/2023,13.16,69,7.2,light rain
29/10/2023,20.5,54,1.34,few clouds
01/11/2023,13.6,67,5.66,overcast clouds
21/11/2023,17.17,78,4.12,overcast clouds
24/11/2023,26.47,50,8.75,light rain
27/11/2023,14.8,94,4.63,light intensity drizzle
30/11/2023,17.15,74,8.75,broken clouds
23/12/2023,20.61,59,2.57,few clouds
26/12/2023,22.01,71,4.12,broken clouds
29/12/2023,18.41,60,4.63,scattered clouds
06/01/2023,20.89,51,7.2,broken clouds
09/01/2023,24.77,60,6.2,clear sky
12/01/2023,18.85,88,3.6,broken clouds
15/01/2023,18.68,66,8.23,broken clouds
07/02/2023,19.26,62,5.7,broken clouds
10/02/2023,22.01,73,3.1,few clouds
13/02/2023,18.46,52,8.23,broken clouds
08/03/2023,16.55,48,7.72,clear sky
11/03/2023,20.78,70,2.06,scattered clouds
14/03/2023,25.74,49,8.75,clear sky
17/03/2023,19.31,53,5.66,scattered clouds
06/04/2023,19.43,73,0.89,overcast clouds
09/04/2023,12.08,86,8.75,moderate rain
12/04/2023,13.71,90,10.8,light rain
15/04/2023,20.56,58,4.02,overcast clouds
08/05/2023,10.38,91,5.14,light intensity shower rain
11/05/2023,10.53,91,0.89,clear sky
14/05/2023,12.63,89,0.45,clear sky
17/05/2023,11.16,75,0.45,few clouds
06/06/2023,16.22,82,7.72,broken clouds
09/06/2023,12.8,66,4.63,scattered clouds
12/06/2023,12.77,68,7.72,clear sky
15/06/2023,13.75,78,7.72,light rain
08/07/2023,12.43,71,6.69,clear sky
11/07/2023,14.23,80,3.6,scattered clouds
14/07/2023,11.49,73,8.75,broken clouds
06/08/2023,10.59,90,3.09,broken clouds
09/08/2023,12.7,77,9.77,broken clouds
12/08/2023,12.35,80,7.2,light rain
15/08/2023,9.26,81,0.45,scattered clouds
04/09/2023,19.59,44,4.47,overcast clouds
07/09/2023,19.84,41,3.58,clear sky
10/09/2023,12.57,73,5.66,light rain
13/09/2023,17.93,61,2.57,clear sky
06/10/2023,13.27,66,7.72,light rain
09/10/2023,14.25,65,1.54,broken clouds
12/10/2023,11.35,89,3.09,moderate rain
04/11/2023,15.22,63,6.17,broken clouds
07/11/2023,28.76,38,13.38,clear sky
10/11/2023,28.13,47,6.69,clear sky
13/11/2023,16.55,59,4.63,few clouds
03/12/2023,19.84,70,4.63,broken clouds
06/12/2023,19.85,61,3.6,scattered clouds
09/12/2023,17.62,92,4.63,light intensity shower rain
12/12/2023,22.82,82,2.57,scattered clouds
04/02/2023,15.88,86,8.8,light rain
05/05/2023,14.72,64,3.58,overcast clouds
05/07/2023,11.16,94,4.63,broken clouds
03/10/2023,17.35,88,7.2,moderate rain
05/03/2023,28.38,40,11.83,clear sky
03/08/2023,15.43,66,4.47,clear sky
18/01/2023,17.79,94,6.2,light rain
21/01/2023,20.68,66,3.6,broken clouds
24/01/2023,24.28,57,3.6,clear sky
27/01/2023,20.31,55,3.1,clear sky
19/02/2023,21.78,64,4.6,few clouds
22/02/2023,21.88,58,2.57,clear sky
25/02/2023,25.14,44,3.09,clear sky
20/03/2023,17.15,52,8.23,few clouds
23/03/2023,17.38,94,0.86,light rain
26/03/2023,16.06,73,3.09,broken clouds
29/03/2023,14.45,93,6.17,moderate rain
18/04/2023,19.22,67,2.68,scattered clouds
21/04/2023,16.0,81,3.6,broken clouds
24/04/2023,19.2,74,3.58,clear sky
27/04/2023,18.52,65,4.47,light rain
20/05/2023,9.83,90,3.6,light rain
23/05/2023,12.39,75,4.63,broken clouds
26/05/2023,10.76,77,7.72,few clouds
29/05/2023,14.12,75,6.69,scattered clouds
18/06/2023,11.29,74,5.66,few clouds
21/06/2023,8.78,79,6.17,few clouds
24/06/2023,11.48,80,8.75,scattered clouds
27/06/2023,11.06,80,7.72,broken clouds
20/07/2023,9.8,68,4.02,clear sky
23/07/2023,10.48,86,3.09,overcast clouds
26/07/2023,11.12,82,4.63,broken clouds
18/08/2023,10.7,83,10.8,light rain
21/08/2023,16.16,72,8.75,scattered clouds
24/08/2023,13.88,70,2.68,broken clouds
27/08/2023,11.94,76,2.57,broken clouds
16/09/2023,19.7,47,8.23,clear sky
19/09/2023,18.85,66,1.79,scattered clouds
22/09/2023,12.71,69,3.09,broken clouds
25/09/2023,20.14,49,6.17,clear sky
18/10/2023,19.77,55,9.26,few clouds
21/10/2023,21.45,56,7.72,clear sky
24/10/2023,22.13,35,14.4,clear sky
16/11/2023,16.26,66,7.72,light rain
19/11/2023,18.48,69,1.54,few clouds
22/11/2023,18.22,63,6.69,scattered clouds
25/11/2023,23.1,70,7.2,few clouds
15/12/2023,20.33,59,4.12,broken clouds
18/12/2023,24.49,44,2.24,overcast clouds
21/12/2023,22.02,55,4.02,scattered clouds
24/12/2023,21.05,65,4.12,scattered clouds
01/01/2023,30.91,46,8.8,clear sky
04/01/2023,15.88,71,8.8,light rain
07/01/2023,24.88,48,6.7,clear sky
30/01/2023,19.82,66,6.7,broken clouds
02/02/2023,18.28,43,7.7,scattered clouds
05/02/2023,18.58,63,4.12,broken clouds
28/02/2023,17.27,82,0.45,light rain
03/03/2023,18.1,59,7.2,broken clouds
06/03/2023,20.23,55,2.68,broken clouds
09/03/2023,17.6,58,7.72,broken clouds
01/04/2023,15.38,59,1.79,light rain
04/04/2023,20.0,74,9.26,few clouds
07/04/2023,19.01,76,9.26,light rain
30/04/2023,11.3,82,2.06,clear sky
03/05/2023,13.8,69,12.35,broken clouds
06/05/2023,10.35,92,0.45,light rain
01/06/2023,13.76,76,4.63,few clouds
04/06/2023,11.1,95,2.57,mist
07/06/2023,17.8,80,10.29,moderate rain
30/06/2023,12.48,81,7.72,broken clouds
03/07/2023,9.42,89,2.57,broken clouds
06/07/2023,12.82,77,8.23,broken clouds
29/07/2023,14.23,78,6.17,scattered clouds
19/01/2023,17.79,45,10.3,broken clouds
22/01/2023,21.77,68,4.63,scattered clouds
25/01/2023,25.55,58,3.6,clear sky
28/01/2023,28.78,41,6.2,clear sky
20/02/2023,21.89,71,2.57,few clouds
