date,temperature,humidity,wind_speed,description
03/01/2023,26.12,61,5.14,clear sky
23/01/2023,21.99,70,5.7,light rain
26/01/2023,29.08,60,3.6,clear sky
29/01/2023,28.19,75,2.6,broken clouds
01/02/2023,25.01,62,3.6,scattered clouds
24/02/2023,23.59,61,1.54,light rain
27/02/2023,23.96,73,6.17,broken clouds
02/03/2023,21.92,80,2.68,moderate rain
25/03/2023,23.3,66,4.63,overcast clouds
28/03/2023,24.47,68,4.12,clear sky
31/03/2023,20.95,45,4.63,clear sky
03/04/2023,19.01,94,3.09,light rain
23/04/2023,19.21,82,3.6,light rain
26/04/2023,19.47,76,1.03,broken clouds
29/04/2023,18.11,85,2.57,light rain
02/05/2023,18.24,55,5.66,few clouds
25/05/2023,16.24,53,4.12,clear sky
28/05/2023,13.65,53,5.66,broken clouds
31/05/2023,17.56,62,4.63,clear sky
03/06/2023,15.16,83,2.51,overcast clouds
23/06/2023,14.46,72,0.45,light rain
26/06/2023,16.1,43,8.23,clear sky
29/06/2023,12.09,62,8.23,few clouds
02/07/2023,12.75,63,0.45,few clouds
25/07/2023,13.28,67,4.12,few clouds
28/07/2023,16.73,55,2.24,clear sky
31/07/2023,17.94,42,6.69,clear sky
23/08/2023,16.26,56,1.34,clear sky
26/08/2023,17.09,68,3.09,scattered clouds
29/08/2023,19.12,62,3.09,few clouds
01/09/2023,16.43,62,8.75,light rain
21/09/2023,21.88,31,1.34,clear sky
24/09/2023,17.69,58,2.57,broken clouds
27/09/2023,19.22,74,2.06,broken clouds
30/09/2023,22.68,66,3.6,few clouds
23/10/2023,22.35,35,4.63,clear sky
26/10/2023,12.92,82,8.75,light intensity shower rain
29/10/2023,21.93,43,4.12,clear sky
01/11/2023,18.8,61,6.69,light rain
21/11/2023,21.19,75,1.34,overcast clouds
24/11/2023,20.66,83,2.57,moderate rain
27/11/2023,22.55,74,5.66,light rain
30/11/2023,24.88,58,1.34,scattered clouds
23/12/2023,21.11,68,5.14,scattered clouds
26/12/2023,26.25,73,0.89,few clouds
29/12/2023,24.11,72,5.66,light rain
06/01/2023,17.31,95,13.4,light intensity shower rain
09/01/2023,24.45,55,2.1,clear sky
12/01/2023,23.61,67,5.7,broken clouds
15/01/2023,25.81,56,6.2,clear sky
07/02/2023,24.89,73,3.1,broken clouds
10/02/2023,25.55,69,4.63,few clouds
13/02/2023,22.1,70,7.72,broken clouds
08/03/2023,26.66,28,2.57,clear sky
11/03/2023,27.44,58,3.6,clear sky
14/03/2023,20.45,87,4.63,shower rain
17/03/2023,29.71,40,0.89,clear sky
06/04/2023,19.02,85,1.13,light rain
09/04/2023,18.32,44,11.83,few clouds
12/04/2023,20.19,62,3.6,scattered clouds
15/04/2023,21.24,64,3.09,few clouds
08/05/2023,13.38,45,9.77,few clouds
11/05/2023,16.81,67,0.45,few clouds
14/05/2023,16.94,80,2.57,few clouds
17/05/2023,14.47,75,11.83,light rain
06/06/2023,15.03,86,5.14,light intensity drizzle
09/06/2023,16.11,56,5.66,clear sky
12/06/2023,11.66,77,4.12,broken clouds
15/06/2023,14.13,53,4.63,few clouds
08/07/2023,14.56,46,6.69,few clouds
11/07/2023,13.12,56,7.72,clear sky
14/07/2023,16.4,53,2.57,clear sky
06/08/2023,14.8,77,7.72,broken clouds
09/08/2023,16.8,69,3.6,clear sky
12/08/2023,14.93,56,3.09,clear sky
15/08/2023,13.7,71,4.63,light rain
